Denominazione,Tipologia,Regione,Provincia,Comune,Esito,Data Aggiornamento,noindex,Link
ISTITUTO SECONDARIO DI I GRADO - MONTECUCCOLI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Modena,Pavullo nel Frignano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MOMM10600D/7
ISTITUTO TECNICO COMMERCIALE - A. BAGGI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Modena,Sassuolo,positivo,17/03/2019 02:05:14,x,http://www.itcgbaggi.com/amministrazione-trasparente
Istituto Comprensivo Sassuolo 3 Sud,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Modena,Sassuolo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MOIC82800C/7
ISTITUTO COMPRENSIVO - SOLIERA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Modena,Soliera,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MOIC808007/4
Comune di Albareto,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Parma,Albareto,positivo,17/03/2019 02:05:14,x,http://halleyweb.com/c034001/po/il-comune-informa.php?x=c29a25ba4606b77dc3eff28c183a1801
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO DI FELINO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Parma,Felino,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PRIC82300L/4
Consiglio Notarile di Parma,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Emilia Romagna,Parma,Parma,positivo,17/03/2019 02:05:14,x,https://www.consiglionotarileparma.org/amministrazione-trasparente.html
ISTITUTO COMPRENSIVO - DI VIA PUCCINI - PARMA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Parma,Parma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PRIC833007/3#new_tab
ISTITUTO COMPRENSIVO - I. C. SALVO D'ACQUISTO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Parma,Parma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PRIC82900G/4
LICEO SCIENTIFICO - 'MARCONI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Parma,Parma,positivo,17/03/2019 02:05:14,x,https://www.albipretorionline.com/albopretorioPF3/frontend/atti.xhtml?codcli=SS16654
Comune di Salsomaggiore Terme,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Parma,Salsomaggiore Terme,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/Salsomaggiore/ammTrasparente.html
Comune di Castel San Giovanni,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Piacenza,Castel San Giovanni,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/CSGiovanni/ammTrasparente.html
ISTITUTO COMPRENSIVO - IC CORTEMAGGIORE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Piacenza,Cortemaggiore,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PCIC805006/4/0/0/show
Ordine dei Dottori Commercialisti e degli Esperti Contabili di Ravenna,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Emilia Romagna,Ravenna,Ravenna,positivo,17/03/2019 02:05:14,x,http://odcec-ra.metaordini.it/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - ALBINEA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Albinea,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC84300X/7
Comune di Boretto,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Reggio-Emilia,Boretto,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Boretto/ammTrasparente.html
ISTITUTO COMPRENSIVO - CAMPAGNOLA-GALILEI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Campagnola Emilia,positivo,17/03/2019 02:05:14,x,https://icgalileicampagnola.gov.it/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - CASALGRANDE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Casalgrande,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC833009/7
ISTITUTO SUPERIORE - CASTELNOVO NE' MONTI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Castelnovo ne` Monti,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIS014004/3#new_tab
ISTITUTO COMPRENSIVO - I.C. 'CORREGGIO 1',Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Correggio,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC85300E/5#new_tab
Comune di Fabbrico,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Reggio-Emilia,Fabbrico,positivo,17/03/2019 02:05:14,x,http://www.comune.fabbrico.re.it/amministrazione-trasparente/
Comune di Poviglio,Comuni e loro Consorzi e Associazioni,Emilia Romagna,Reggio-Emilia,Poviglio,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Poviglio/ammTrasparente.html
ISTITUTO COMPRENSIVO - 'L. DA VINCI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Reggio Emilia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC847007/4
ISTITUTO COMPRENSIVO - 'S. PERTINI 1',Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Reggio Emilia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC850003/4
ISTITUTO COMPRENSIVO - 'S. PERTINI 2',Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Reggio Emilia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC84900V/4
ISTITUTO COMPRENSIVO - DON PASQUINO BORGHI R.E.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Reggio Emilia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC81400X/6
ISTITUTO COMPRENSIVO - VILLAMINOZZO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Reggio-Emilia,Villa Minozzo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/REIC842004/4#new_tab
Istituto Comprensivo Ic Centro Storico,Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia Romagna,Rimini,Rimini,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/RNIC817007/7/0/0/show
ISTITUTO COMPRENSIVO - IC AVIANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Pordenone,Aviano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PNIC80800P/3
Unione Territoriale Intercomunale Livenza Cansiglio Cavallo,Unioni di Comuni e loro Consorzi e Associazioni,Friuli Venezia Giulia,Pordenone,Aviano,positivo,17/03/2019 02:05:14,x,http://www.livenzacansigliocavallo.utifvg.it/index.php?id=6811
ISTITUTO COMPRENSIVO - IC FONTANAFREDDA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Pordenone,Fontanafredda,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PNIC81100E/4
Comune di Spilimbergo,Comuni e loro Consorzi e Associazioni,Friuli Venezia Giulia,Pordenone,Spilimbergo,positivo,17/03/2019 02:05:14,x,http://www.comune.spilimbergo.pn.it/home/amministrazione-trasparente/index.html
ISTITUTO COMPRENSIVO - IST. COMPR. 'TIZIANA WEISS',Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Trieste,Trieste,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/TSIC80300D/4#new_tab
ISTITUTO COMPRENSIVO - IST. COMPR. VIA COMMERCIALE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Trieste,Trieste,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/TSIC805005/4
Istituto Magistrale Anton Martin Slomsek - Lingua Ins.Slovena,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Trieste,Trieste,positivo,17/03/2019 02:05:14,x,http://www.slomsek.it/it/trasparenza/amministrazione-trasparente
ISTITUTO COMPRENSIVO - VAL TAGLIAMENTO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Ampezzo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC82300R/4
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO CODROIPO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Codroipo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC849001/7
ISTITUTO COMPRENSIVO - GEMONA DEL FRIULI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Gemona del Friuli,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC85300L/4
ISTRUZIONE SECONDARIA SUPERIORE - D'ARONCO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Gemona del Friuli,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIS006007/6#new_tab
Istituto Statale di Istruzione Superiore Magrini Marchetti,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Gemona del Friuli,positivo,17/03/2019 02:05:14,x,http://www.isismagrinimarchetti.it/trasparenza/amministrazione-trasparente
Istituto Comprensivo Cecilia Deganutti,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Latisana,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC835003/4
Comune di Majano,Comuni e loro Consorzi e Associazioni,Friuli Venezia Giulia,Udine,Majano,positivo,17/03/2019 02:05:14,x,http://www.comune.majano.ud.it/index.php?id=44622
Comune di Pavia di Udine,Comuni e loro Consorzi e Associazioni,Friuli Venezia Giulia,Udine,Pavia di Udine,positivo,17/03/2019 02:05:14,x,http://www.comune.paviadiudine.ud.it/index.php?id=8410&no_cache=1&tx_ttnews%5BbackPid%5D=8407&tx_ttnews%5Btt_news%5D=22608&cHash=ef893f69f285e926621dee6593d51b8f
Istituto Comprensivo Antonio Coceani Pavia Di Udine,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Pavia di Udine,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC826008/4#new_tab
ISTITUTO COMPRENSIVO - I - UDINE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Udine,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC84100A/3
ISTITUTO COMPRENSIVO - IV - UDINE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli Venezia Giulia,Udine,Udine,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/UDIC843002/3
Comune di Cassino,Comuni e loro Consorzi e Associazioni,Lazio,Frosinone,Cassino,positivo,17/03/2019 02:05:14,x,http://cassino.etrasparenza.it
Comune di Fiuggi,Comuni e loro Consorzi e Associazioni,Lazio,Frosinone,Fiuggi,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/Fiuggi/ammTrasparente.html
Comune di Isola del Liri,Comuni e loro Consorzi e Associazioni,Lazio,Frosinone,Isola del Liri,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/IsolaDelLiri/ammTrasparente.html
Azienda Speciale Multiservizi Pontecorvo,Gestori di Pubblici Servizi,Lazio,Frosinone,Pontecorvo,positivo,17/03/2019 02:05:14,x,http://www.asmpontecorvo.it/amministrazione-trasparente/
Comune di Cantalice,Comuni e loro Consorzi e Associazioni,Lazio,Rieti,Cantalice,positivo,17/03/2019 02:05:14,x,http://cantalice.etrasparenza.it/
"Camera di Commercio, Iindustria, Artigianato e Agricoltura di Rieti","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Lazio,Rieti,Rieti,positivo,17/03/2019 02:05:14,x,http://www.ri.camcom.it/P42A0C0S169/Amministrazione-trasparente.htm
Comune di Rieti,Comuni e loro Consorzi e Associazioni,Lazio,Rieti,Rieti,positivo,17/03/2019 02:05:14,x,http://www.comune.rieti.it/amministrazione-trasparente
ISTITUTO COMPRENSIVO - IC ANZIO III,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Anzio,positivo,17/03/2019 02:05:14,x,http://www.icanzioiii.gov.it/trasparenza/amministrazione-trasparente
ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI - COLONNA-GATTI - ANZIO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Anzio,positivo,17/03/2019 02:05:14,x,http://www.colonna-gatti.gov.it/amministrazione-trasparente-1.html
ISTITUTO COMPRENSIVO - SANDRO PERTINI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Fonte Nuova,positivo,17/03/2019 02:05:14,x,https://www.icsandropertinifontenuova.edu.it/trasparenza/amministrazione-trasparente
ISTITUTO TECNICO INDUSTRIALE - ENRICO FERMI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Frascati,positivo,17/03/2019 02:05:14,x,http://www.fermifrascati.it/amministrazione-trasparente/
Comune di Labico,Comuni e loro Consorzi e Associazioni,Lazio,Roma,Labico,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/Labico/ammTrasparente.html
Comune di Lanuvio,Comuni e loro Consorzi e Associazioni,Lazio,Roma,Lanuvio,positivo,17/03/2019 02:05:14,x,http://lanuvio.etrasparenza.it/
Ales Arte Lavoro e Servizi Spa,Societa` in Conto Economico Consolidato,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://alesspa.portaleamministrazionetrasparente.it/
Consorzio di Bonifica Tevere e Agro Romano,Gestori di Pubblici Servizi,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,http://www.cbtar.it/AmministrazioneTrasparente2.html
Ente Nazionale di Previdenza e Assistenza della Professione Infermieristica - ENPAPI,Enti Nazionali di Previdenza ed Assistenza Sociale in Conto Economico Consolidato,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://enpapi.online/trasparenza/
Federazione Nazionale Ordini Professioni Infermieristiche (FNOPI),"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,http://www.fnopi.it/amministrazione-trasparente.htm
"ISTITUTO COMPRENSIVO -  VIA T. MOMMSEN, 20",Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://www.mommsen.edu.it/pubblicita-legale/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - I.C.'MARCO ULPIO TRAIANO',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/RMIC83600P/4
ISTITUTO COMPRENSIVO - IC VIA E. MACRO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/RMIC8E600X/3
ISTITUTO COMPRENSIVO STATALE ALESSANDRO MANZONI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/RMIC8GD00D/3
Istituti Fisioterapici Ospitalieri,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,http://www.ifo.it/index/trasparenza.html
Istituti Riuniti di Assistenza Sociale Roma Capitale,Aziende Pubbliche di Servizi alla Persona,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,http://www.ipabromacapitale.it/comunicazioni-legali/
Istituto Comprensivo Parco degli Acquedotti,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/RMIC8GG001/3
Istituto Comprensivo Via Francesco Gentile 40,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/RMIC8CM003/3/0/0/show
Universita' degli Studi Roma Tre,Universita` e Istituti di Istruzione Universitaria Pubblici,Lazio,Roma,Roma,positivo,17/03/2019 02:05:14,x,http://host.uniroma3.it/progetti/at/
Ordine Dei Dottori Commercialisti e Degli Esperti Contabili di Tivoli,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lazio,Roma,Tivoli,positivo,17/03/2019 02:05:14,x,https://www.odcectivoli.it/amministrazione-trasparente/
Volsca Ambiente e Servizi S.P.A.,Gestori di Pubblici Servizi,Lazio,Roma,Velletri,positivo,17/03/2019 02:05:14,x,http://www.volscambiente.it/societa-trasparente/
Volsca Ambiente e Servizi Spa,Gestori di Pubblici Servizi,Lazio,Roma,Velletri,positivo,17/03/2019 02:05:14,x,http://www.volscambiente.it/societa-trasparente/
ISTITUTO COMPRENSIVO - 'ANNA MOLINARO',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,Viterbo,Montefiascone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/VTIC82800T/6/0/0/show#new_tab
LICEO SCIENTIFICO - LS L. LANFRANCONI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,Genova,Genova,positivo,17/03/2019 02:05:14,x,http://www.lanfranconi.org/?page_id=796
Comune di Olivetta San Michele,Comuni e loro Consorzi e Associazioni,Liguria,Imperia,Olivetta San Michele,positivo,17/03/2019 02:05:14,x,http://www.comune.olivettasanmichele.im.it/Default.aspx?pageid=page531
ISTRUZIONE SECONDARIA SUPERIORE - 'C.COLOMBO',Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,Imperia,Sanremo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/IMIS007004/3
ISTITUTO COMPRENSIVO - ISA 20 - IC BOLANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,La-Spezia,Bolano,positivo,17/03/2019 02:05:14,x,http://istitutocomprensivobolano.gov.it?p=758
CONSIGLIO DELL'ORDINE DEGLI AVVOCATI E DEI PROCURATORI LEGALI DI LA SPEZIA,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Liguria,La-Spezia,La Spezia,positivo,17/03/2019 02:05:14,x,http://www.ordineavvocatidellaspezia.it/amministrazione-trasparente.php
ISTITUTO COMPRENSIVO - ISA 16 - I.C. ORTONOVO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,La-Spezia,Ortonovo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/SPIC81100P/4
ISTITUTO COMPRENSIVO - ISA 11 - I.C. VEZZANO L.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,La-Spezia,Vezzano Ligure,positivo,17/03/2019 02:05:14,x,http://isa11sp.gov.it/?page_id=2579
Cpia Albenga Finale Ligure Savona Valbormida,Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,Savona,Savona,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/SVMM062003/3/0/0/show
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO SAVONA III,Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,Savona,Savona,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/SVIC18400L/8
Comune di Stellanello,Comuni e loro Consorzi e Associazioni,Liguria,Savona,Stellanello,positivo,17/03/2019 02:05:14,x,http://comune.stellanello.sv.it/amministrazione-trasparente-2/
ISTITUTO COMPRENSIVO - ALBANO S.ALESSANDRO I.C.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Albano Sant'Alessandro,positivo,17/03/2019 02:05:14,x,http://www.icalbano.gov.it/trasparenza/amministrazione-trasparente
Comune di Berzo San Fermo,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Berzo San Fermo,positivo,17/03/2019 02:05:14,x,http://www.comune.berzo-san-fermo.bg.it/Pages/amministrazione_trasparente_v2_0
Comune di Bianzano,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Bianzano,positivo,17/03/2019 02:05:14,x,http://www.comune.bianzano.bg.it/Pages/amministrazione_trasparente_v2_0/
ISTITUTO COMPRENSIVO - CARVICO - E. FERMI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Carvico,positivo,17/03/2019 02:05:14,x,https://www.iccarvico.edu.it/trasparenza/amministrazione-trasparente
Comunita' Montana Valle Cavallina,Comunita` Montane e loro Consorzi e Associazioni,Lombardia,Bergamo,Casazza,positivo,17/03/2019 02:05:14,x,http://www.consorzioservizi.valcavallina.bg.it/Pages/amministrazione_trasparente_v2_0/
Comune di Castro (BG),Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Castro,positivo,17/03/2019 02:05:14,x,http://www.comune.castro.bg.it/Pages/amministrazione_trasparente_v2_0
Comune di Costa Volpino,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Costa Volpino,positivo,17/03/2019 02:05:14,x,http://www.comune.costavolpino.bg.it/Pages/amministrazione_trasparente_v2_0/
Istituto Comprensivo Fratelli d'Italia Costa Volpino Bg,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Costa Volpino,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BGIC84300P/3
Comune di Dalmine,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Dalmine,positivo,17/03/2019 02:05:14,x,http://www.comune.dalmine.bg.it/pubblicazioni/Informazioni_A/Informazioni_A_Elenco.asp?ID_M=399
Comune di Endine Gaiano,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Endine Gaiano,positivo,17/03/2019 02:05:14,x,http://www.comune.endine-gaiano.bg.it/Pages/amministrazione_trasparente_v2_0
Comune di Fonteno,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Fonteno,positivo,17/03/2019 02:05:14,x,http://www.comune.fonteno.bg.it/Pages/amministrazione_trasparente_v2_0/?Codice=AT
Comune di Ghisalba,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Ghisalba,positivo,17/03/2019 02:05:14,x,https://www.comuneghisalba.it/amministrazione_trasparente
ISTITUTO COMPRENSIVO - GROMO - SORELLE DE MARCHI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Gromo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BGIC85100N/4#new_tab
Comune di Grone,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Grone,positivo,17/03/2019 02:05:14,x,http://www.comune.grone.bg.it/Pages/amministrazione_trasparente_v2_0/
ISTITUTO COMPRENSIVO - GRUMELLO DEL MONTE -DON BELOTTI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Grumello del Monte,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BGIC85200D/9/0/0/show
Comunita' Montana dei Laghi Bergamaschi,Comunita` Montane e loro Consorzi e Associazioni,Lombardia,Bergamo,Lovere,positivo,17/03/2019 02:05:14,x,http://www.cmassrl.it/pages/amministrazione_trasparente_v2_0/
Comune di Monasterolo del Castello,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Monasterolo del Castello,positivo,17/03/2019 02:05:14,x,http://www.comune.monasterolo-del-castello.bg.it/Pages/amministrazione_trasparente_v2_0/
Comune di Osio Sotto,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Osio Sotto,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/OsioSotto/ammTrasparente.html
Comune di Pianico,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Pianico,positivo,17/03/2019 02:05:14,x,http://www.comune.pianico.bg.it/Pages/amministrazione_trasparente_v2_0/
Comune di Predore,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Predore,positivo,17/03/2019 02:05:14,x,http://www.comune.predore.bg.it/Pages/amministrazione_trasparente_v2_0/
Comune di Ranzanico,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Ranzanico,positivo,17/03/2019 02:05:14,x,http://www.comune.ranzanico.bg.it/Pages/amministrazione_trasparente_v2_0
Comune di Rogno,Comuni e loro Consorzi e Associazioni,Lombardia,Bergamo,Rogno,positivo,17/03/2019 02:05:14,x,http://www.comune.rogno.bg.it/Pages/amministrazione_trasparente_v2_0/
ISTITUTO COMPRENSIVO - ROVETTA - ANDREA FANTONI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Rovetta,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BGIC868003/8
ISTITUTO COMPRENSIVO - TAVERNOLA BERGAMASCA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Tavernola Bergamasca,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BGIC80500X/7/0/0/show
Consorzio Servizi Val Cavallina,Consorzi tra Amministrazioni Locali,Lombardia,Bergamo,Trescore Balneario,positivo,17/03/2019 02:05:14,x,http://www.consorzioservizi.valcavallina.bg.it/Pages/amministrazione_trasparente_v2_0/
ISTRUZIONE SECONDARIA SUPERIORE - 'LORENZO LOTTO',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Bergamo,Trescore Balneario,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BGIS01400V/4
Val Cavallina Servizi Srl,Gestori di Pubblici Servizi,Lombardia,Bergamo,Trescore Balneario,positivo,17/03/2019 02:05:14,x,http://trasparenza.vcsonline.it/Pages/amministrazione_trasparente_v3_0/
Comune di Angolo Terme,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Angolo Terme,positivo,17/03/2019 02:05:14,x,http://www.comune.angolo-terme.bs.it/Pages/amministrazione_trasparente_v3_0/
